spelling	%Bel	%Ned	Obs_Bel	Obs_Bel	
aanklacht	99.2	99.7	254	315	
aanklagen	99.6	99.7	245	350	
aanklager	100.0	99.7	284	310	
aanklampen	98.7	95.8	246	353	
aankleden	99.6	99.3	254	314	
aankleven	94.4	91.8	264	295	
aanklikken	98.4	99.0	269	313	
aankloppen	98.7	99.7	240	316	
aanknopen	98.8	98.6	261	294	
aankoeken	87.9	93.6	226	297	
aankomen	98.7	100.0	235	327	
aankomend	98.0	99.3	264	321	
aankomst	100.0	99.4	255	346	
aankondigen	100.0	100.0	232	322	
aankondiging	99.5	99.4	233	351	
aankoop	100.0	100.0	274	304	
aankopen	99.2	99.6	252	297	
aankoper	99.1	94.8	227	327	
aankruien	43.5	65.7	233	331	
aankruisen	99.1	98.4	243	327	
aankunnen	97.2	96.8	266	297	
aankweek	70.8	65.5	231	326	
aankweken	88.4	78.2	235	309	
aanlaat	42.9	45.0	247	335	
aanlachen	39.7	29.4	206	298	
aanladen	59.2	44.0	245	331	
aanlanden	69.6	72.4	232	309	
aanlandig	53.0	73.0	251	316	
aanlappen	62.9	50.8	264	321	
aanlassen	81.3	66.3	225	272	
aanleg	99.6	99.7	265	301	
aanleggen	98.7	99.7	251	324	
aanlegger	95.0	90.4	296	306	
aanleiding	100.0	100.0	240	318	
aanlengen	93.7	93.8	235	320	
aanleren	99.6	100.0	259	299	
aanleunen	96.9	96.9	235	335	
aanliggen	87.5	91.1	236	307	
aanlijken	19.0	20.2	217	285	
aanlijmen	74.4	66.9	243	337	
aanlijnen	76.7	97.6	249	307	
aanloeien	58.7	50.3	204	305	
aanloeren	48.0	45.3	243	331	
aanloeven	26.1	48.1	238	349	
aanloggen	73.6	43.4	251	329	
aanlokkelijk	98.8	97.0	262	319	
aanlokken	87.5	75.6	227	341	
aanloop	99.1	98.6	241	310	
aanlopen	97.8	97.1	234	324	
aanmaak	99.6	99.0	244	312	
aanmaken	99.6	99.7	266	319	
aanmanen	97.2	96.3	228	285	
aanmaning	96.9	96.3	237	312	
aanmatigen	86.2	87.5	283	336	
aanmatigend	86.1	90.9	242	313	
aanmelden	98.6	99.4	233	336	
aanmelder	89.0	95.1	269	346	
aanmelding	100.0	99.7	269	329	
aanmengen	71.6	75.9	237	301	
aanmeren	97.2	96.8	263	366	
aanmerkelijk	76.7	98.0	239	321	
aanmerken	97.1	98.3	256	313	
aanmerking	96.0	99.3	211	310	
aanmeten	95.7	98.0	272	310	
aanminnelijk	68.4	50.0	20	40	
aanminnig	32.6	37.1	270	345	
aanmodderen	97.1	98.3	255	318	
aanmoedigen	99.6	99.7	260	330	
aanmoedigend	97.9	95.8	255	326	
aanmoediging	100.0	99.3	215	316	
aanmoeten	33.1	48.1	225	282	
aanmonsteren	78.5	85.7	274	338	
aanmunten	50.4	28.8	242	324	
aannaaien	91.4	88.1	256	318	
aanname	83.6	97.9	269	347	
aannemelijk	99.1	99.4	234	324	
aannemen	99.1	99.7	230	337	
aannemer	100.0	99.6	255	292	
aanneming	93.0	84.1	285	325	
aanpak	99.5	100.0	227	327	
aanpakken	100.0	98.9	265	298	
aanpalend	95.6	73.4	265	301	
aanpappen	97.7	96.8	229	360	
aanpassen	99.6	99.4	257	345	
aanpassing	98.4	99.7	264	341	
aanpersen	70.7	70.0	262	319	
aanpezen	36.8	81.4	240	322	
aanpikken	89.0	77.3	221	269	
aanplakbiljet	96.4	99.0	262	323	
aanplakker	83.4	82.2	247	314	
aanplant	71.7	91.1	238	296	
aanplanten	99.3	97.6	288	302	
aanporren	95.0	69.7	230	330	
aanpoten	68.0	98.7	250	314	
aanpraten	96.3	97.2	254	301	
aanpreken	48.4	49.0	259	320	
aanprijzen	98.6	98.9	224	289	
aanpunten	70.8	70.1	252	292	
aanpunter	54.1	42.3	250	321	
aanraden	98.6	99.7	233	335	
aanrader	100.0	99.0	256	318	
aanraken	99.2	99.1	250	343	
aanraking	99.6	100.0	259	316	
aanranden	98.8	99.7	266	311	
aanrander	96.0	98.5	265	340	
aanranding	98.3	98.9	241	297	
aanrazen	63.2	56.8	226	251	
aanrecht	99.1	99.0	230	307	
aanreiken	95.4	96.0	275	341	
aanreiker	75.2	78.0	242	321	
aanrekenen	99.6	98.0	247	361	
aanrennen	77.6	78.5	235	289	
aanrichten	99.1	99.7	242	314	
aanrijden	98.4	98.6	270	302	
aanrijding	100.0	99.7	247	314	
aanrijgen	82.8	93.4	270	303	
aanrijpen	77.7	75.3	255	337	
aanroeien	60.5	71.8	288	302	
aanroep	84.3	87.9	268	330	
aanroepen	93.1	95.0	261	336	
aanroeper	75.5	78.4	254	312	
aanroeren	87.1	86.8	269	319	
aanroken	38.3	29.6	232	284	
aanrollen	88.2	90.2	267	301	
aanrommelen	87.1	98.6	269	308	
aanruisen	47.6	33.2	227	252	
aanrukken	96.1	95.0	267	340	
aanschaf	97.8	99.6	242	299	
aanschaffen	99.6	99.4	268	333	
aanschakelen	79.3	68.8	239	314	
aanscherpen	98.4	99.0	261	309	
aanschieten	96.8	98.6	261	302	
aanschijn	87.2	71.2	255	318	
aanschouwelijk	100.0	94.7	35	40	
aanschouwen	99.6	99.4	251	342	
aanschrijven	96.6	96.6	248	314	
aanschuiven	99.5	99.7	215	316	
aansjouwen	63.6	73.9	269	294	
aanslaan	98.6	99.1	232	341	
aanslag	98.3	98.8	250	347	
aanslagen	97.5	99.0	249	327	
aanslepen	98.8	99.1	274	341	
aanslibben	88.9	84.5	256	327	
aansluiten	100.0	99.3	226	319	
aansluiting	99.2	100.0	252	332	
aansmeden	74.0	66.5	247	327	
aansmeren	97.5	98.0	249	312	
aansnede	72.6	67.7	257	316	
aansnee	44.3	34.9	274	317	
aansnijden	98.7	98.7	243	331	
aanspannen	99.2	100.0	261	309	
aanspelen	83.7	90.7	226	305	
aanspoelen	98.5	98.7	274	322	
aansporen	99.3	99.3	302	315	
aansporing	99.2	99.4	248	327	
aanspraak	98.4	100.0	263	366	
aansprakelijk	98.7	100.0	247	361	
aanspreken	98.6	99.7	224	332	
aanstaan	97.6	97.9	261	302	
aanstaand	96.6	99.7	249	360	
aanstaande	100.0	99.7	285	325	
aanstaren	97.4	99.7	241	332	
aanstekelijk	99.6	99.7	236	338	
aansteken	99.2	99.4	250	343	
aansteker	99.1	98.9	239	298	
aanstellen	99.2	100.0	272	286	
aansteller	99.1	99.4	246	346	
aanstellerig	97.9	99.1	256	355	
aanstellerij	97.4	99.7	245	324	
aanstelling	98.8	98.9	259	296	
aansterken	97.3	99.4	236	338	
aanstichten	75.1	95.4	262	321	
aanstichter	92.3	98.4	274	321	
aanstippen	98.4	98.9	258	299	
aanstoken	86.9	62.8	249	303	
aanstoker	93.9	67.7	240	303	
aanstomen	79.1	61.9	257	345	
aanstonds	88.6	92.4	231	319	
aanstoot	98.7	99.7	252	314	
aanstootgevend	98.8	98.7	259	321	
aanstormen	97.1	98.1	254	324	
aanstort	31.1	39.1	223	285	
aanstotelijk	90.8	86.9	264	290	
aanstoten	95.8	100.0	249	308	
aanstotend	88.8	91.5	236	296	
aanstrepen	96.3	99.3	255	313	
aansturen	98.7	98.3	244	317	
aanstuwen	91.7	86.5	254	320	
aantal	100.0	100.0	256	284	
aantappen	53.3	48.3	230	271	
aantasten	98.4	98.7	269	325	
aantekenen	99.2	99.0	263	316	
aantekening	100.0	100.0	244	315	
aantellen	53.9	50.0	258	316	
aantijgen	88.2	90.6	259	302	
aantijger	38.6	39.9	235	331	
aantijging	92.5	89.9	239	281	
aantikken	99.1	99.0	245	314	
aantocht	98.5	97.1	275	294	
aantonen	99.2	99.3	262	320	
aantonend	96.4	94.4	263	341	
aantoning	60.8	65.6	247	312	
aantreden	98.0	100.0	260	310	
aantree	16.3	25.8	239	281	
aantreffen	99.2	99.3	259	321	
aantrekkelijk	99.2	98.6	252	300	
aantrekken	99.5	99.3	222	291	
aantrekking	97.6	97.7	260	322	
aanturen	45.1	36.0	255	309	
aanvaardbaar	99.6	100.0	274	317	
aanvaarden	98.3	99.0	255	303	
aanvaarding	97.7	98.0	275	311	
aanval	99.6	99.4	241	332	
aanvallen	99.1	100.0	247	322	
aanvallend	100.0	100.0	236	303	
aanvaller	99.2	100.0	261	274	
aanvallig	55.3	66.3	247	306	
aanvalsteam	91.7	92.5	253	324	
aanvang	99.6	98.4	241	325	
aanvangen	99.2	97.9	266	305	
aanvanger	88.6	91.6	267	340	
aanvankelijk	98.6	99.0	232	322	
aanvaren	96.5	96.0	240	290	
aanvaring	98.4	99.1	268	347	
aanvatten	98.7	78.5	235	318	
aanvatter	57.5	37.9	255	317	
aanvechtbaar	96.4	97.9	237	304	
aanvechten	98.4	99.7	270	318	
aanvechting	92.7	92.8	260	307	
aanvegen	82.1	99.3	235	320	
aanverwant	95.2	93.1	264	303	
aanvetten	86.9	70.5	250	300	
aanvijl	18.5	8.8	208	299	
aanvijlen	71.0	47.2	225	301	
aanvijzen	86.3	11.2	268	307	
aanvinken	99.2	98.6	270	304	
aanvliegen	94.1	98.5	231	340	
aanvoegen	76.8	79.2	222	324	
aanvoelen	100.0	99.0	247	319	
aanvoer	98.3	99.6	254	298	
aanvoerder	100.0	100.0	240	321	
aanvoeren	100.0	99.7	259	330	
aanvoerster	92.0	86.9	291	345	
aanvraag	99.6	100.0	251	322	
aanvrage	14.2	30.0	200	325	
aanvragen	98.8	99.7	254	315	
aanvrager	96.6	98.7	250	329	
aanvreten	88.3	96.3	260	342	
aanvullen	99.5	99.0	230	307	
aanvullend	99.5	100.0	223	324	
aanvulling	99.6	99.1	270	345	
aanvulsel	89.4	86.7	238	341	
aanvuren	92.8	86.1	234	258	
aanvuring	71.5	62.0	240	321	
aanwaaien	92.9	98.6	253	293	
aanwakkeren	100.0	98.7	250	320	
aanwas	84.1	90.3	271	325	
aanwassen	81.5	87.6	245	315	
aanwenden	99.2	97.9	251	294	
aanwennen	56.7	90.0	197	283	
aanwensel	39.6	57.6	251	325	
aanwerken	65.0	55.0	271	297	
aanwerpen	55.3	62.7	226	285	
aanwerven	98.6	71.8	296	306	
aanwerver	93.1	54.0	273	323	
aanwetten	44.9	31.5	273	335	
aanwezen	54.4	64.4	217	269	
aanwezend	44.4	38.0	195	299	
aanwezig	99.1	98.8	238	341	
aanwezige	99.1	98.5	241	344	
aanwezigheid	100.0	99.7	274	341	
aanwijzen	99.6	99.7	266	311	
aanwijzer	98.3	98.7	250	320	
aanwijzing	99.6	99.1	247	335	
aanwinnen	80.0	81.0	263	327	
aanwinst	100.0	98.2	259	295	
aanwippen	72.3	94.2	255	346	
aanwrijven	96.5	90.8	241	321	
aanzagen	58.5	59.3	226	305	
aanzakken	39.0	51.3	195	268	
aanzeggen	78.1	83.3	259	316	
aanzegger	63.2	78.0	252	326	
aanzeilen	67.0	74.8	281	342	
aanzet	99.1	98.4	240	323	
aanzetsel	79.3	77.3	249	292	
aanzetten	98.8	98.7	264	327	
aanzetter	94.7	93.2	240	340	
aanzeulen	78.3	72.0	267	301	
aanzicht	98.7	98.8	247	346	
aanzien	99.1	99.7	244	333	
aanzienlijk	99.2	98.6	252	306	
aanzijn	23.5	19.9	249	305	
aanzitten	88.5	94.4	257	283	
aanzoek	99.6	99.3	256	302	
aanzoeken	90.6	93.5	247	306	
aanzoeker	83.1	79.1	237	282	
aanzuigen	92.1	93.1	266	305	
aanzuiveren	92.9	87.5	267	338	
aanzwellend	100.0	95.2	35	44	
aanzwengelen	96.9	98.0	238	373	
aanzwepen	86.3	72.2	254	333	
aanzweven	66.0	75.3	254	315	
aap	100.0	99.0	229	304	
aapachtig	93.1	92.5	274	322	
aapje	100.0	99.3	272	289	
aapjes	98.4	100.0	265	331	
aapmens	89.3	93.2	265	343	
aar	74.2	83.9	261	288	
aard	98.7	99.6	240	277	
aardappel	99.2	100.0	276	330	
aardappelen	100.0	99.0	252	306	
aardappelpuree	99.6	99.7	249	321	
aardas	77.8	82.3	242	344	
aardbei	99.6	99.4	251	324	
aardbeien	98.4	99.6	271	297	
aardbeving	100.0	99.3	246	317	
aardbewoner	99.5	99.1	219	336	
aardbodem	98.3	98.7	249	321	
aardbol	99.6	100.0	245	302	
aarde	100.0	99.4	261	336	
aarden	96.4	98.6	260	311	
aardeweg	95.5	46.4	258	316	
aardewerk	98.0	99.3	258	311	
aardgas	99.1	99.7	247	310	
aardig	99.6	99.7	249	341	
aardigheid	98.7	99.0	246	314	
aardigheidje	96.0	98.8	260	341	
aardigjes	26.8	42.7	220	329	
aarding	95.3	84.5	247	327	
aardkloot	82.5	95.8	265	327	
aardkluit	93.9	93.7	260	332	
aardkorst	99.6	99.7	261	334	
aardlaag	94.4	99.0	245	314	
aardlek	70.2	93.5	247	307	
aardman	77.1	81.9	230	291	
aardnoot	90.9	96.9	266	304	
aardolie	98.6	99.1	220	352	
aardpek	45.4	40.0	239	321	
aardrijk	70.2	78.1	251	322	
aardrijkskunde	98.4	99.0	257	303	
aardrol	41.2	39.9	254	324	
aards	98.8	99.7	266	319	
aardschok	97.8	98.7	234	336	
aardsheid	78.2	86.8	227	318	
aardstralen	96.0	96.6	290	282	
aardvarken	95.2	95.5	220	352	
aardvlo	80.9	76.5	231	322	
aardwas	36.8	38.5	233	334	
aardworm	100.0	100.0	26	42	
aars	98.0	94.0	260	296	
aarsgat	64.1	77.6	226	315	
aarsvin	47.6	36.8	273	335	
aartsdom	82.9	75.2	265	301	
aartsengel	93.1	89.9	230	314	
aartslui	80.2	89.0	213	325	
aartsrivaal	95.8	96.2	251	330	
aartsvader	71.0	86.8	29	40	
aartsvijand	97.7	97.0	276	278	
aarzelaar	76.8	75.9	245	310	
aarzelen	99.1	99.4	244	333	
aarzelend	99.2	99.3	249	319	
aarzeling	99.1	99.7	246	313	
aas	98.8	99.0	255	307	
aasbloem	39.4	35.8	259	331	
aasdier	86.2	81.3	251	298	
aasemmer	72.7	63.8	270	297	
aaseter	96.1	95.8	273	323	
aasgedrag	70.7	70.2	262	321	
aasgier	98.6	98.9	229	290	
aasjager	79.9	71.4	267	327	
aasje	79.0	81.8	241	330	
aaskever	73.6	78.4	275	283	
aassoort	77.0	79.1	247	292	
aastor	31.5	34.5	249	352	
aasvis	77.0	83.4	224	317	
aasvlieg	85.5	87.2	269	336	
aasvogel	88.0	85.5	236	326	
aaszak	40.6	36.4	225	356	
abactis	16.9	37.6	242	290	
abacus	48.1	56.6	219	347	
abaja	3.0	6.0	256	345	
abandon	33.4	32.2	237	312	
abattoir	81.4	85.2	249	291	
abc	86.2	78.5	236	303	
abces	94.7	96.1	256	355	
abdicatie	68.7	87.8	249	319	
abdiceren	59.5	75.0	270	320	
abdij	99.6	97.1	253	290	
abdijkerk	93.8	89.6	237	314	
abdiqueren	54.5	54.5	37	44	
abdis	68.6	68.6	258	298	
abdomen	75.8	57.4	231	319	
abdominaal	87.5	73.4	252	380	
abeel	61.8	51.4	237	323	
abel	62.3	74.6	260	311	
aberrant	64.2	36.3	253	299	
aberratie	68.4	56.1	230	326	
abiotisch	65.3	58.9	267	333	
abituriënt	47.4	41.7	230	336	
abject	40.6	72.7	241	297	
ablatie	53.1	40.2	274	303	
ablatief	68.8	40.9	243	317	
ablaut	15.2	11.7	262	329	
ablutie	19.8	14.0	260	311	
abnormaal	99.1	99.7	237	314	
abolitie	44.8	34.9	242	343	
abominabel	89.8	89.6	237	334	
abondance	59.2	36.1	268	328	
abonnee	96.8	97.6	228	305	
abonnees	94.5	96.9	268	310	
abonnement	97.7	97.3	269	308	
abonneren	96.1	98.0	246	313	
aborteren	91.5	95.7	249	321	
aborteur	74.4	86.1	275	325	
abortief	59.1	50.9	255	317	
abortus	99.2	98.4	258	339	
abracadabra	90.7	91.7	215	316	
abraham	83.7	96.7	277	319	
abri	44.0	80.7	265	343	
abrikoos	98.6	99.7	228	305	
abrupt	97.3	98.4	233	336	
abscis	54.2	25.3	262	320	
abseilen	50.3	93.1	235	334	
absence	69.1	78.3	252	359	
absent	88.6	96.7	231	321	
absenteïsme	88.3	57.9	27	30	
absenten	72.7	90.4	204	284	
absentia	67.8	54.9	265	329	
absentie	89.3	98.4	236	326	
absint	84.9	84.5	258	320	
absolutie	97.3	93.8	273	325	
absolutisme	96.8	95.5	260	331	
absoluut	99.6	99.6	258	299	
absolveren	56.3	61.5	219	353	
absorberen	98.2	99.0	229	319	
absorptie	93.1	89.7	243	328	
absoute	17.6	11.8	276	278	
abstinent	68.1	65.6	264	321	
abstinentie	73.9	64.5	250	317	
abstract	98.8	98.8	263	359	
abstractie	98.4	98.0	263	312	
abstraheren	72.2	81.3	261	333	
absurd	98.6	98.7	220	329	
absurdist	73.4	84.5	265	340	
absurdistisch	50.9	84.4	240	303	
absurditeit	98.1	94.8	270	304	
abt	96.9	83.7	235	335	
abuis	92.7	95.5	259	330	
abundant	64.9	47.9	234	317	
abusief	73.4	70.3	214	312	
abusievelijk	61.3	85.6	245	314	
acacia	80.9	84.5	231	326	
academica	86.5	92.8	250	305	
academicus	97.6	97.8	261	336	
academie	99.1	98.0	243	321	
academisch	98.2	99.1	231	340	
acajou	82.8	23.8	251	279	
acanthus	51.4	44.2	251	315	
acceleratie	97.2	96.3	227	314	
accelereren	95.7	95.9	244	331	
accent	98.7	99.7	246	320	
accentueren	98.0	99.3	260	307	
accept	74.1	84.0	240	290	
acceptabel	97.6	98.6	266	305	
acceptant	78.9	84.2	269	313	
acceptatie	98.0	98.9	214	296	
accepteren	99.2	99.4	251	325	
acceptie	61.6	70.9	255	307	
acces	69.8	74.2	268	347	
accessie	58.7	50.9	214	317	
accessit	11.7	9.3	261	333	
accessoir	79.8	80.9	286	331	
accessoire	95.5	98.3	258	314	
accessoires	97.5	98.4	250	321	
accident	97.1	82.9	258	332	
accidenteel	87.3	68.7	241	319	
accijns	91.0	96.2	245	331	
acclamatie	70.9	80.4	264	295	
acclimatisatie	94.0	89.6	261	334	
acclimatiseren	92.0	94.5	251	325	
accolade	92.3	84.3	247	322	
accommodatie	95.1	98.4	258	319	
accommoderen	92.5	92.4	266	319	
accordeon	98.4	99.3	259	315	
accordeonist	96.6	94.9	250	329	
accorderen	88.5	91.5	247	361	
account	97.8	98.5	239	283	
accountant	95.0	98.1	253	326	
accreditatie	89.6	91.6	263	327	
accrediteren	90.5	92.8	276	278	
accres	12.6	20.0	236	317	
accu	99.1	99.7	246	318	
accubak	62.0	90.8	241	321	
acculturatie	46.3	43.0	247	314	
accumulatie	97.9	94.2	246	342	
accumulatief	100.0	87.2	32	33	
accumulator	95.5	88.6	257	286	
accumuleren	95.4	89.2	250	321	
accuraat	96.5	98.5	238	349	
accuratesse	59.9	84.8	226	297	
accusatief	86.8	50.6	240	307	
ace	73.8	70.5	225	310	
acetaat	68.5	69.0	267	292	
aceton	92.6	94.8	256	284	
acetyleen	85.4	85.0	260	366	
ach	89.7	97.5	235	331	
achenebbisj	0.0	50.5	256	302	
achilleshiel	77.0	91.3	247	314	
achillespees	96.1	97.4	244	322	
achondroplasie	58.3	51.0	48	43	
achromatisch	66.4	59.8	276	330	
acht	100.0	99.3	259	299	
achtarm	59.6	52.2	271	337	
achtarmig	90.7	94.4	227	318	
achtbaan	98.4	99.4	271	324	
achtbaar	93.4	90.9	238	314	
achtdaags	95.5	94.4	259	320	
achteloos	96.5	98.4	269	325	
achten	98.7	99.3	251	300	
achter	100.0	99.1	237	344	
achteraan	99.6	99.0	244	316	
achteraf	99.2	100.0	268	333	
achteras	85.4	94.0	224	317	
achterbak	86.0	99.0	255	302	
achterbaks	99.6	99.3	250	298	
achterban	95.2	97.8	243	339	
achterbank	99.2	100.0	266	309	
achterblijven	100.0	99.7	258	311	
achterblijver	96.7	100.0	32	35	
achterbuurt	99.6	99.7	286	315	
achterdek	98.3	98.3	242	310	
achterdeur	98.7	99.6	234	277	
achterdocht	99.6	98.9	260	275	
achterdochtig	99.5	99.7	227	318	
achtereen	92.5	98.7	268	323	
achtereenvolgens	97.1	98.4	256	324	
achtereind	84.5	95.5	251	279	
achteren	82.8	95.8	275	300	
achtererf	84.9	92.1	209	318	
achtergrond	100.0	99.7	251	329	
achterhaald	99.1	97.2	238	341	
achterhalen	99.6	99.7	258	314	
achterham	84.5	97.9	245	301	
achterheen	62.8	83.1	215	281	
achterhoede	94.0	98.6	247	310	
achterhoofd	99.1	99.7	239	314	
achterhouden	98.3	99.6	241	293	
achterhuis	99.0	100.0	219	352	
achterin	99.2	98.9	265	289	
achteringang	97.8	99.4	236	338	
achterkamer	98.1	99.3	217	312	
achterkant	99.5	99.4	229	360	
achterklap	97.4	96.0	243	318	
achterkomen	94.4	93.4	226	305	
achterland	87.4	97.2	267	333	
achterlangs	85.2	98.9	256	290	
